日期,上海建工五建集团有限公司,上海市机械施工集团有限公司,上海市安装工程集团有限公司,中建安装集团有限公司,中建深圳装饰有限公司,深圳市科源建设集团股份有限公司,深圳市中深建装饰设计工程有限公司,北京江森自控有限公司,上海为绿景观建设有限公司,北京新时空科技股份有限公司,通力电梯有限公司,上海景泰建设股份有限公司,上海金安泰建筑安装工程有限公司,北京天树
2023.11.28,0,0,4,0,3,0,1,0,0,0,0,4,7,4
2023.11.29,6,0,0,0,0,0,1,0,0,0,0,0,3,4
2023.11.30,1,0,5,1,1,0,0,2,1,0,0,0,0,0
2023.12.01,1,0,2,4,0,0,2,0,2,0,0,0,10,0
2023.12.04,2,0,4,0,0,0,6,0,0,0,0,0,4,0
2023.10.16,2,0,2,42,0,18,9,2,0,0,0,10,6,0
2023.12.05,0,0,2,0,7,0,0,0,8,0,0,4,2,0
2023.12.06,0,0,0,6,0,0,3,3,0,0,0,0,0,0
2023.12.07,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2023.12.08,10,0,0,10,0,0,0,1,1,0,0,8,2,1
