上海建工五建集团有限公司,上海市机械施工集团有限公司,上海市安装工程集团有限公司,中建安装集团有限公司,中建深圳装饰有限公司,深圳市科源建设集团股份有限公司,深圳市中深建装饰设计工程有限公司,北京江森自控有限公司,上海为绿景观建设有限公司,北京新时空科技股份有限公司,通力电梯有限公司,上海景泰建设股份有限公司,上海金安泰建筑安装工程有限公司,北京天树
,,,,,,,,,,,,,
上海建工五建集团有限公司,上海市机械施工集团有限公司,上海市安装工程集团有限公司,中建安装集团有限公司,中建深圳装饰有限公司,深圳市科源建设集团股份有限公司,深圳市中深建装饰设计工程有限公司,北京江森自控有限公司,上海为绿景观建设有限公司,北京新时空科技股份有限公司,通力电梯有限公司,上海景泰建设股份有限公司,上海金安泰建筑安装工程有限公司,北京天树
五建,机施,上安,中建安装,中建深装,科源,中深建,江森,为绿,北京新时空,通力,景泰,金安泰,
上海湘礼建设（集团）有限公司,上海晓谊建筑劳务有限公司,上海共强建筑劳务有限公司,上海兴邦安装工程有限公司,上海赫立建筑劳务有限公司,深圳晟明达建筑劳务有限公司,上海荣升建筑劳务有限公司,上海为业智能工程有限公司,上海昇杰建筑工程有限公司,杭州建邦景观工程有限公司,,上海予烽建筑劳务有限公司,南通四建工程劳务有限公司,
上海锦旗建筑工程有限公司,上海宏靓建筑劳务有限公司,上海谛腾机电安装工程有限公司,安徽申达建设工程有限公司,中建深,深圳市中深建装饰设计工程有限公司,上海市荣升建筑劳务有限公司,上海延屹实业有限公司,,,,,南通四建,
上海绍禹建筑安装工程有限公司,宏靓,浙江宇恒建筑劳务有限公司,上海裕弛建筑劳务有限公司,,,,上海亓胜建筑劳务有限公司,,,,,,
上海鑫奕建设工程有限公司,晓谊,上海民展建筑工程有限公司,徐州汉鼎建筑劳务有限公司,,,,,,,,,,
上海宝产三和门业有限公司,,启东市启安劳务有限公司,江苏中天建筑工程有限公司,,,,,,,,,,
上海佳扬建筑工程有限公司,,上海民展,上海永诺机电设备安装工程有限公司,,,,,,,,,,
上海沪众建筑工程有限公司,,上海共强,苏州永开拓建筑安装有限公司,,,,,,,,,,
上海旺伟建筑材料有限公司,,上海谛腾,淮安市定国建筑工程劳务有限公司,,,,,,,,,,
杭州班王建筑劳务有限公司,,,上海苏捷建筑工程有限公司,,,,,,,,,,
上海华地建设工程有限公司,,,上海苏捷,,,,,,,,,,
上海硕颂建筑劳务有限公司,,,徐州汉鼎,,,,,,,,,,
上海明礼建筑科技有限公司,,,电气二队,,,,,,,,,,
上海陆晟建筑安装有限公司,,,淮安定国通风三队,,,,,,,,,,
上海简深建筑装饰工程有限公司,,,中建安装电气二队,,,,,,,,,,
上海文天建设工程（集团）有限公司,,,中建安装管道一队,,,,,,,,,,
上海展进建筑工程有限公司,,,中建安装电气一队,,,,,,,,,,
上海弘韬建设发展有限公司,,,,,,,,,,,,,
上海铭谷民防设备有限公司,,,徐州汉鼎电气二队,,,,,,,,,,
上海濑江建设工程有限公司,,,淮安定国管道一队,,,,,,,,,,
上海禹凝建筑装饰工程有限公司,,,中建安装通风三队,,,,,,,,,,
上海慧乾建设工程有限公司,,,中建安装电气三队,,,,,,,,,,
上海芷华建筑设备材料有限公司,,,中建安装-电气三队,,,,,,,,,,
上海铭谷,,,,,,,,,,,,,
杭州班王,,,,,,,,,,,,,
简深,,,,,,,,,,,,,
班王劳务,,,,,,,,,,,,,
陆晟,,,,,,,,,,,,,
旺伟,,,,,,,,,,,,,
禹瀚,,,,,,,,,,,,,
上海佳扬,,,,,,,,,,,,,
上海濑江,,,,,,,,,,,,,
硕颂,,,,,,,,,,,,,
华地,,,,,,,,,,,,,
